Event	Purity
0	0
1	1
2	0
3	1
4	0.5
5	1
6	0
7	0
8	0
9	0
10	0
11	0
12	1
13	1
14	0
15	0
16	0.06666666666666667
17	0
18	0.25
19	1
20	0.11904761904761904
21	0.6
22	0
23	0
24	0.16666666666666666
25	0
26	0.3225806451612903
27	0.8235294117647058
28	1
29	1
30	0
31	1
32	0.6666666666666666
33	1
34	0
35	1
36	0
37	0
38	0
39	0
40	0
41	0.22857142857142856
42	0.6
43	1
44	0.5945945945945946
45	0
46	0.5
47	0
48	0
49	0.18181818181818182
50	0.5
51	0.8181818181818182
52	0
53	0
54	1
55	1
56	0
57	0
58	0.2777777777777778
59	0
60	0
61	0
62	0.15625
63	0
64	0.7142857142857143
65	0.6923076923076923
66	0.6
67	0
68	1
69	0
70	0.5882352941176471
71	1
72	0
73	1
74	1
75	0
76	0
77	0.8636363636363636
78	0
79	0
80	1
81	0
82	0
83	1
84	0.5
85	1
86	0
87	0.9375
88	1
89	0.03125
90	0.5
91	0
92	0
93	0
94	0.9444444444444444
95	0
96	0.35
97	0.7857142857142857
98	0.22857142857142856
99	0
100	0
101	0.4482758620689655
102	0.6666666666666666
103	0
104	0.07142857142857142
105	0.3
106	0
107	0.3125
108	0.0625
109	0.3333333333333333
110	1
111	0
112	1
113	0.1282051282051282
114	1
115	1
116	0.25
117	0
118	1
119	0
120	1
121	0
122	0
123	0.8
124	0
125	0.25
126	0
127	0
128	0.08695652173913043
129	1
130	0
131	0
132	1
133	0.25
134	0.5
135	1
136	1
137	0.6666666666666666
138	0
139	0.3333333333333333
140	0.6666666666666666
141	1
142	0.020833333333333332
143	0.3
144	1
145	0
146	0
147	0
148	0.35
149	0
150	0.4230769230769231
151	0
152	0
153	0
154	0
155	0.6666666666666666
156	0
157	0
158	0.5714285714285714
159	1
160	0.5
161	0
162	1
163	0.6666666666666666
164	0.5
165	1
166	1
167	0
168	0.4
169	0
170	1
171	0.0425531914893617
172	1
173	0.6551724137931034
174	1
175	0.6551724137931034
176	0.5714285714285714
177	0
178	0.52
179	1
180	0
181	0.0851063829787234
182	1
183	0
184	0.125
185	0
186	1
187	0.06666666666666667
188	0
189	0
190	1
191	1
192	0
193	0.5
194	1
195	0.5
196	0
197	0
198	0.75
199	0
200	0.35
201	0.8636363636363636
202	0
203	0
204	0.47619047619047616
205	0
206	0.15384615384615385
207	0
208	0.8333333333333334
209	0
210	0.1282051282051282
211	1
212	0.5
213	0
214	1
215	0.7948717948717948
216	0.3225806451612903
217	1
218	0
219	0
220	1
221	0.1282051282051282
222	0
223	1
224	0
225	0
226	0.47619047619047616
227	1
228	0.45454545454545453
229	1
230	0
231	1
232	0.13157894736842105
233	1
234	0.75
235	0
236	0
237	0
238	0
239	1
240	0.36363636363636365
241	0
242	0.03333333333333333
243	0.9302325581395349
244	0
245	0
246	1
247	0
248	0
249	0.2
250	0.044444444444444446
251	0.16666666666666666
252	0
253	1
254	1
255	0
256	1
257	1
258	1
259	0
260	0.9666666666666667
261	0.3333333333333333
262	0.3125
263	0.8636363636363636
264	1
265	1
266	0
267	0.15625
268	0
269	0.14285714285714285
270	0
271	0
272	0
273	0
274	0.02040816326530612
275	0
276	0
277	1
278	0
279	0.10526315789473684
280	0.4
281	1
282	0
283	0.25
284	0.375
285	1
286	0.25
287	1
288	0
289	0
290	0.5806451612903226
291	0
292	0
293	0
294	1
295	1
296	0.6071428571428571
297	0.14285714285714285
298	1
299	1
300	0.5945945945945946
301	0.5833333333333334
302	0.3333333333333333
303	0
304	0.42857142857142855
305	0
306	0.9444444444444444
307	0.14285714285714285
308	0.043478260869565216
309	0
310	0
311	0
312	0
313	0.06666666666666667
314	1
315	0
316	0.5
317	0
318	1
319	1
320	0
321	0
322	1
323	0.7692307692307693
324	0.15
325	0
326	1
327	0.5925925925925926
328	0.65
329	0.9545454545454546
330	0.9795918367346939
331	0.5
332	0
333	0.05714285714285714
334	0
335	0
336	0
337	1
338	0.5
339	0
340	0
341	0.4583333333333333
342	0.22857142857142856
343	0.02040816326530612
344	0
345	1
346	0.43478260869565216
347	1
348	0
349	1
350	0.044444444444444446
351	0
352	0
353	0
354	0
355	0.09090909090909091
356	0.25
357	0
358	0.5384615384615384
359	0.05
360	0
361	0.13333333333333333
362	1
363	0.5
364	0
365	0
366	0
367	0
368	0
369	0.9047619047619048
370	0.8571428571428571
371	0.4583333333333333
372	1
373	0
374	1
375	0.75
376	0.6666666666666666
377	0.045454545454545456
378	0
379	0.3333333333333333
380	0.8
381	0
382	0.35555555555555557
383	0
384	0.95
385	1
386	0.043478260869565216
387	1
388	1
389	0
390	0.9
391	0
392	0.7692307692307693
393	1
394	1
395	0
396	0.55
397	0
398	0.1282051282051282
399	0.2647058823529412
400	0
401	0
402	0
403	1
404	0
405	0.9761904761904762
406	0
407	0.5
408	0.42105263157894735
409	0.4444444444444444
410	1
411	0.9777777777777777
412	0.03333333333333333
413	0
414	0
415	1
416	1
417	0
418	1
419	1
420	1
421	0
422	0
423	1
424	0.5
425	0.020833333333333332
426	1
427	0
428	1
429	0.5384615384615384
430	0.8421052631578947
431	0
432	1
433	0
434	0
435	0
436	0.5
437	0
438	1
439	1
440	1
441	0.8918918918918919
442	0.8918918918918919
443	0
444	0.16666666666666666
445	1
446	0.6666666666666666
447	1
448	1
449	0.5
450	0
451	0
452	0
453	0
454	1
455	1
456	0
457	1
458	0.75
459	0
460	0
461	0
462	0
463	0
464	0.2777777777777778
465	0
466	0
467	0.045454545454545456
468	0
469	0
470	0.5
471	0.08695652173913043
472	0.5
473	0.75
474	1
475	0
476	0
477	0
478	0
479	1
480	0
481	0
482	1
483	0
484	0.07142857142857142
485	0
486	1
487	0.18181818181818182
488	1
489	0.52
490	0.42857142857142855
491	0.6666666666666666
492	0.1282051282051282
493	1
494	0
495	0.9183673469387755
496	0.8
497	0.9166666666666666
498	1
499	1
500	0
501	1
502	0.2
503	1
504	0
505	0.2
506	0
507	1
508	0
509	0
510	0.7777777777777778
511	0.6071428571428571
512	0.18181818181818182
513	0
514	0
515	0
516	0.5517241379310345
517	0.6956521739130435
518	0.5
519	0
520	1
521	0.2
522	0.06666666666666667
523	0
524	1
525	0.5882352941176471
526	1
527	1
528	0
529	0.6666666666666666
530	0
531	0
532	0.06666666666666667
533	0
534	0
535	1
536	0.42857142857142855
537	0
538	0.16666666666666666
539	0
540	0
541	0.15384615384615385
542	0
543	0.782608695652174
544	0
545	0.1282051282051282
546	1
547	0
548	0
549	1
550	1
551	0
552	1
553	0.8
554	1
555	0
556	0
557	0
558	1
559	0
560	0
561	1
562	0
563	0
564	0
565	1
566	0.15
567	1
568	0
569	0
570	0
571	1
572	1
573	0.375
574	0.07142857142857142
575	1
576	1
577	0
578	0.5517241379310345
579	0
580	0
581	0
582	0.4583333333333333
583	1
584	0.9259259259259259
585	0
586	1
587	0
588	0.8181818181818182
589	0
590	0
591	0.5416666666666666
592	0
593	0
594	0
595	0.15625
596	1
597	0
598	1
599	0.2
600	0
601	0
602	0.6666666666666666
603	0.03333333333333333
604	1
605	0
606	0
607	0.29411764705882354
608	1
609	0.95
610	0.8
611	0.43478260869565216
612	0.4230769230769231
613	0.6428571428571429
614	1
615	0
616	0.7
617	0.1
618	0
619	1
620	0
621	0
622	0.42105263157894735
623	0
624	1
625	0.1
626	0
627	0.8235294117647058
628	0.5
629	0.42105263157894735
630	0.2857142857142857
631	0
632	0.7857142857142857
633	0
634	0
635	0
636	0.5
637	1
638	1
639	0
640	0.18181818181818182
641	0.05714285714285714
642	0
643	0.0425531914893617
644	0.1875
645	1
646	0.5714285714285714
647	0
648	0.9375
649	0
650	0.5
651	0
652	0.2857142857142857
653	0.9795918367346939
654	0
655	0
656	0.6
657	1
658	0.044444444444444446
659	0.3333333333333333
660	1
661	0
662	0.3333333333333333
663	0.1
664	0.8
665	1
666	0.02040816326530612
667	0.35
668	1
669	1
670	1
671	0
672	1
673	1
674	1
675	0.6071428571428571
676	0
677	1
678	0
679	0.5945945945945946
680	1
681	0.9375
682	0.52
683	0.65
684	1
685	0.8695652173913043
686	0
687	0.05714285714285714
688	0
689	0.5
690	1
691	1
692	0
693	0
694	0.8333333333333334
695	0
696	1
697	1
698	0.3225806451612903
699	0
700	0.5
701	0
702	0
703	0.8
704	1
705	0
706	0
707	0
708	0
709	1
710	0.5
711	1
712	0
713	0.4482758620689655
714	0.3333333333333333
715	0
716	1
717	1
718	0
719	0.05714285714285714
720	0
721	0
722	1
723	0.5
724	1
725	0
726	1
727	0
728	0.1111111111111111
729	0
730	0
731	0
